Date,Decimal Date,Average,Interpolated,Trend,Number of Days
2005-11,2005.875,378.35,378.35,380.50,23
2005-12,2005.958,380.11,380.11,380.90,26
2006-01,2006.042,381.38,381.38,381.14,24
2006-02,2006.125,382.19,382.19,381.38,25
2006-03,2006.208,382.67,382.67,381.14,30
2006-04,2006.292,384.61,384.61,381.91,25
2006-05,2006.375,385.03,385.03,381.87,24
2006-06,2006.458,384.05,384.05,381.75,28
2006-07,2006.542,382.46,382.46,381.91,24
2006-08,2006.625,380.41,380.41,382.08,27
2006-09,2006.708,378.85,378.85,382.16,27
2006-10,2006.792,379.13,379.13,382.46,23
2006-11,2006.875,380.15,380.15,382.33,29
2006-12,2006.958,381.82,381.82,382.64,27
2007-01,2007.042,382.89,382.89,382.67,24
2007-02,2007.125,383.90,383.90,383.01,21
2007-03,2007.208,384.58,384.58,382.94,26
2007-04,2007.292,386.50,386.50,383.71,26
2007-05,2007.375,386.56,386.56,383.34,29
2007-06,2007.458,386.10,386.10,383.84,26
2007-07,2007.542,384.50,384.50,384.02,27
2007-08,2007.625,381.99,381.99,383.70,22
2007-09,2007.708,380.96,380.96,384.32,21
2007-10,2007.792,381.12,381.12,384.47,29
2007-11,2007.875,382.45,382.45,384.65,30
2007-12,2007.958,383.95,383.95,384.83,21
2008-01,2008.042,385.52,385.52,385.28,31
2008-02,2008.125,385.82,385.82,384.96,26
2008-03,2008.208,386.03,386.03,384.48,30
2008-04,2008.292,387.21,387.21,384.58,24
2008-05,2008.375,388.54,388.54,385.45,25
2008-06,2008.458,387.76,387.76,385.46,23
2008-07,2008.542,386.36,386.36,385.80,10
2008-08,2008.625,384.09,384.09,385.75,25
2008-09,2008.708,383.18,383.18,386.46,27
2008-10,2008.792,382.99,382.99,386.27,23
2008-11,2008.875,384.19,384.19,386.37,28
2008-12,2008.958,385.56,385.56,386.41,29
2009-01,2009.042,386.94,386.94,386.63,30
2009-02,2009.125,387.48,387.48,386.59,26
2009-03,2009.208,388.82,388.82,387.32,28
2009-04,2009.292,389.55,389.55,386.92,29
2009-05,2009.375,390.14,390.14,387.02,30
2009-06,2009.458,389.48,389.48,387.24,29
2009-07,2009.542,388.03,388.03,387.55,22
2009-08,2009.625,386.11,386.11,387.80,27
2009-09,2009.708,384.74,384.74,388.01,28
2009-10,2009.792,384.43,384.43,387.68,30
2009-11,2009.875,386.02,386.02,388.16,30
2009-12,2009.958,387.42,387.42,388.23,20
2010-01,2010.042,388.71,388.71,388.41,30
2010-02,2010.125,390.20,390.20,389.26,20
2010-03,2010.208,391.17,391.17,389.65,25
2010-04,2010.292,392.46,392.46,389.89,26
2010-05,2010.375,393.00,393.00,389.88,28
2010-06,2010.458,392.15,392.15,389.89,28
2010-07,2010.542,390.20,390.20,389.72,29
2010-08,2010.625,388.35,388.35,390.01,26
2010-09,2010.708,386.85,386.85,390.14,29
2010-10,2010.792,387.24,387.24,390.53,31
2010-11,2010.875,388.67,388.67,390.79,28
2010-12,2010.958,389.79,389.79,390.60,29
2011-01,2011.042,391.33,391.33,391.03,29
2011-02,2011.125,391.86,391.86,390.94,28
2011-03,2011.208,392.60,392.60,391.07,29
2011-04,2011.292,393.25,393.25,390.63,28
2011-05,2011.375,394.19,394.19,391.02,30
2011-06,2011.458,393.73,393.73,391.44,28
2011-07,2011.542,392.51,392.51,392.04,26
2011-08,2011.625,390.13,390.13,391.83,27
2011-09,2011.708,389.08,389.08,392.40,26
2011-10,2011.792,389.00,389.00,392.33,31
2011-11,2011.875,390.28,390.28,392.44,28
2011-12,2011.958,391.86,391.86,392.66,28
2012-01,2012.042,393.12,393.12,392.89,30
2012-02,2012.125,393.86,393.86,393.04,26
2012-03,2012.208,394.40,394.40,392.80,30
2012-04,2012.292,396.18,396.18,393.43,29
2012-05,2012.375,396.74,396.74,393.54,30
2012-06,2012.458,395.71,395.71,393.45,28
2012-07,2012.542,394.36,394.36,393.92,26
2012-08,2012.625,392.39,392.39,394.17,30
2012-09,2012.708,391.11,391.11,394.54,27
2012-10,2012.792,391.05,391.05,394.41,28
2012-11,2012.875,392.98,392.98,395.02,29
2012-12,2012.958,394.34,394.34,395.04,29
2013-01,2013.042,395.55,395.55,395.40,28
2013-02,2013.125,396.80,396.80,396.01,25
2013-03,2013.208,397.43,397.43,395.84,30
2013-04,2013.292,398.41,398.41,395.53,22
2013-05,2013.375,399.78,399.78,396.40,28
2013-06,2013.458,398.61,398.61,396.28,26
2013-07,2013.542,397.32,397.32,396.92,21
2013-08,2013.625,395.20,395.20,397.08,27
2013-09,2013.708,393.45,393.45,396.99,27
2013-10,2013.792,393.70,393.70,397.04,28
2013-11,2013.875,395.16,395.16,397.15,30
2013-12,2013.958,396.84,396.84,397.59,30
2014-01,2014.042,397.85,397.85,397.55,31
2014-02,2014.125,398.01,398.01,397.21,26
2014-03,2014.208,399.77,399.77,398.24,24
2014-04,2014.292,401.38,401.38,398.49,28
2014-05,2014.375,401.78,401.78,398.37,22
2014-06,2014.458,401.25,401.25,398.93,28
2014-07,2014.542,399.10,399.10,398.67,25
2014-08,2014.625,397.03,397.03,398.92,21
2014-09,2014.708,395.38,395.38,398.97,21
2014-10,2014.792,396.03,396.03,399.43,24
2014-11,2014.875,397.28,397.28,399.36,27
2014-12,2014.958,398.91,398.91,399.64,29
2015-01,2015.042,399.98,399.98,399.69,30
2015-02,2015.125,400.28,400.28,399.51,27
2015-03,2015.208,401.54,401.54,400.05,24
2015-04,2015.292,403.28,403.28,400.49,27
2015-05,2015.375,403.96,403.96,400.63,30
2015-06,2015.458,402.80,402.80,400.50,28
2015-07,2015.542,401.31,401.31,400.92,23
2015-08,2015.625,398.93,398.93,400.84,28
2015-09,2015.708,397.63,397.63,401.15,25
2015-10,2015.792,398.29,398.29,401.59,28
2015-11,2015.875,400.16,400.16,402.13,27
2015-12,2015.958,401.85,401.85,402.52,30
2016-01,2016.042,402.56,402.56,402.27,27
2016-02,2016.125,404.12,404.12,403.34,25
2016-03,2016.208,404.87,404.87,403.38,28
2016-04,2016.292,407.45,407.45,404.65,25
2016-05,2016.375,407.72,407.72,404.40,29
2016-06,2016.458,406.83,406.83,404.53,26
2016-07,2016.542,404.41,404.41,404.03,28
2016-08,2016.625,402.27,402.27,404.18,23
2016-09,2016.708,401.05,401.05,404.56,24
2016-10,2016.792,401.59,401.59,404.89,29
2016-11,2016.875,403.55,403.55,405.53,27
2016-12,2016.958,404.45,404.45,405.11,30
2017-01,2017.042,406.17,406.17,405.88,26
2017-02,2017.125,406.46,406.46,405.68,26
2017-03,2017.208,407.22,407.22,405.73,23
2017-04,2017.292,409.04,409.04,406.25,25
2017-05,2017.375,409.69,409.69,406.36,27
2017-06,2017.458,408.88,408.88,406.58,26
2017-07,2017.542,407.12,407.12,406.74,28
2017-08,2017.625,405.13,405.13,407.04,29
2017-09,2017.708,403.37,403.37,406.88,26
2017-10,2017.792,403.63,403.63,406.93,27
2017-11,2017.875,405.12,405.12,407.09,26
2017-12,2017.958,406.81,406.81,407.47,31
2018-01,2018.042,407.96,407.96,407.67,29
2018-02,2018.125,408.32,408.32,407.54,28
2018-03,2018.208,409.41,409.41,407.92,30
2018-04,2018.292,410.24,410.24,407.45,21
2018-05,2018.375,411.24,411.24,407.91,24
2018-06,2018.458,410.79,410.79,408.49,29
2018-07,2018.542,408.71,408.71,408.32,27
2018-08,2018.625,406.99,406.99,408.90,30
2018-09,2018.708,405.51,405.51,409.02,29
